EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),ObstacleClusters
1781616956.2093568,2.212841272354126,-200.0,200.0,0.2,6.2831853055722755,-4.8164672032422375e-05,1.0000000004196048,,6.2831853055722755,1781616956.2113552,-4.8164672032422375e-05,1.0000000004196048,6.2831853055722755,1781616955.705112,1781616956.186666,0.9684669031537975,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616956.2138693,2.2173538208007812,-200.0,200.0,0.2,6.2831853055722755,0.030169498373870698,1.0000000003710356,0.0,6.2831853055722755,1781616956.2113552,,,,,1781616956.186666,0.9684669031537975,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616956.4188864,2.4223709106445312,-200.0,200.0,0.2,6.2831853055726485,0.0849235591263025,1.000000000283029,2.049541144398543e-12,6.283185305572589,1781616956.3641422,,,,,1781616956.3461359,0.9870523152997338,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616956.614868,2.6183524131774902,-200.0,200.0,0.2,6.28318530561657,0.15124196931291933,1.0000000001764593,2.827761180290329e-10,6.283185305623718,1781616956.5449524,,,,,1781616956.5932508,1.0663613543519732,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616956.825271,2.8287553787231445,-200.0,200.0,0.2,6.283185305686045,0.04773426338341949,1.0000000005949572,6.439756187649595e-10,6.283185305765556,1781616956.765206,0.039380062844973335,1.0000000006204348,6.283185305683338,1781616956.708873,1781616956.8262737,0.9258388069862585,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616957.0146317,3.0181162357330322,-200.0,200.0,0.2,6.283185305648293,0.10128184941854755,1.0000000005149816,-8.407763326744358e-11,6.283185305747418,1781616956.980934,,,,,1781616956.980934,0.9553761111387072,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616957.2151897,3.2186741828918457,-200.0,200.0,0.2,6.2831853056362394,0.16720675880200023,1.0000000004140313,2.2838078676180754e-11,6.28318530575203,1781616957.1829102,,,,,1781616957.2171955,1.037562704241439,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616957.4152098,3.418694257736206,-200.0,200.0,0.2,6.283185305703265,0.2363083524143232,1.0000000003073835,7.160316399697708e-10,6.283185305866211,1781616957.3423731,,,,,1781616957.3574333,1.0164925506550244,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616957.6143944,3.6178789138793945,-200.0,200.0,0.2,6.283185305546664,0.3059178280245689,1.0000000002046174,-1.0950737537698109e-09,6.283185305648413,1781616957.5412624,,,,,1781616957.5897527,1.0106514207289476,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616957.8146913,3.818175792694092,-200.0,200.0,0.2,6.28318530572498,0.22367356776970326,1.0000000003310427,-2.1643715688958849e-10,6.283185305600763,1781616957.7614186,0.21444205328465377,1.0000000003456386,6.283185306026372,1781616957.712719,1781616957.7614186,0.900309022933202,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616958.0165386,4.0200231075286865,-200.0,200.0,0.2,6.283185305801782,0.28479793446553364,1.0000000002421308,6.408357345668917e-10,6.283185305758792,1781616958.0080178,,,,,1781616957.9609482,0.9144815809618351,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616958.2153058,4.218790292739868,-200.0,200.0,0.2,6.283185305768563,0.3528937588598001,1.000000000148308,-1.9196325147122804e-10,6.28318530572305,1781616958.1942093,,,,,1781616958.211795,1.00919599227448,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616958.4143555,4.417840003967285,-200.0,200.0,0.2,6.283185305779981,0.4223560192262009,1.000000000050295,1.0566076028457456e-10,6.283185305744613,1781616958.3982913,,,,,1781616958.4123363,0.9677881501430469,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616958.615398,4.618882417678833,-200.0,200.0,0.2,6.2831853058504725,0.492015219588533,0.9999999999527998,6.8757853656763e-10,6.283185305880107,1781616958.5953507,,,,,1781616958.6118944,0.966364080722298,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616958.8139226,4.817407131195068,-200.0,200.0,0.2,6.283185305937955,0.4114765444280153,0.9999999999967782,-7.391989169559029e-10,6.283185305726351,1781616958.803353,0.4016693868661691,1.0000000000056959,6.283185306387837,1781616958.716391,1781616958.7563815,1.0774550864609802,track,none,0.0,nan,nan,0.0,0.0,nan,nan,nan,[]
1781616959.0145319,5.018016338348389,-200.0,200.0,0.2,6.283185305996644,0.4725837535559516,0.9999999999209056,5.075043400579013e-10,6.283185305822048,1781616958.9919162,,,,,1781616958.9622855,1.0603378058126882,track,none,0.0,nan,nan,0.0,0.0,4.770724835549294,3.5259184501552086,5.004557854844572,"[{""label"":0,""point_count"":3,""centre_ne_m"":[4.770724835549294,3.5259184501552086],""centre_body_m"":[4.359248287985021,2.5259184555710084],""distance_m"":5.038185157424701,""min_distance_m"":5.004557854844572,""cluster_radius_m"":0.06738029585474824,""cluster_size_m"":0.13444712210084217,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.0,""heading_deg"":null}]"
1781616959.2146478,5.218132257461548,-200.0,200.0,0.2,6.283185306022221,0.5406754689385662,0.999999999840357,3.891301784704265e-10,6.283185305897607,1781616959.186091,,,,,1781616959.1790755,0.9506767805993613,apf_avoid,none,0.0,nan,nan,9.99093621774038,4.694233345430403,4.8026707213859074,3.4750403291320806,4.936700208192673,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.8026707213859074,3.4750403291320806],""centre_body_m"":[4.330086964902124,2.4750403343334204],""distance_m"":4.987532233499106,""min_distance_m"":4.936700208192673,""cluster_radius_m"":0.10101052937337972,""cluster_size_m"":0.17805265313993252,""equivalent_radius_m"":0.18000000000000002,""track_id"":1,""speed_m_s"":0.021742709947039685,""heading_deg"":-57.304489329802706}]"
1781616959.4166894,5.42017388343811,-200.0,200.0,0.2,6.283185305928439,0.6101371020472265,0.9999999997599646,-6.478139550947842e-10,6.283185305785409,1781616959.4197075,,,,,1781616959.372805,1.0784303553375905,apf_avoid,none,0.0,nan,nan,9.999175421146143,4.683521122720771,4.831991865528694,3.452321733813349,4.890578614808801,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.831991865528694,3.452321733813349],""centre_body_m"":[4.291316393751896,2.452321738939612],""distance_m"":4.942598335143124,""min_distance_m"":4.890578614808801,""cluster_radius_m"":0.1028161336699688,""cluster_size_m"":0.18030682265882655,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.04823344532687966,""heading_deg"":-48.217847385263994}]"
1781616959.6150906,5.618575096130371,-200.0,200.0,0.2,6.28318530600096,0.6797962173353228,0.9999999996728107,5.215832674603148e-10,6.283185305889641,1781616959.5591235,,,,,1781616959.575199,0.9533094897490741,apf_avoid,none,0.0,nan,nan,10.007563505786798,4.673924390549341,4.864573187787304,3.430710115678248,4.847331765090105,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.864573187787304,3.430710115678248],""centre_body_m"":[4.254436082698899,2.430710121241212],""distance_m"":4.899854903492023,""min_distance_m"":4.847331765090105,""cluster_radius_m"":0.10451289492787541,""cluster_size_m"":0.1819144992205557,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.07322283164326744,""heading_deg"":-44.098256400232785}]"
1781616959.815146,5.8186304569244385,-200.0,200.0,0.2,6.283185306179091,0.6017156420325689,0.9999999998421801,2.4106846190865975e-10,6.283185305940834,1781616959.771481,0.5921012149239597,0.9999999998585442,6.283185306597384,1781616959.721755,1781616959.781053,0.9776630670774425,apf_avoid,none,0.0,nan,nan,10.021999916137391,4.675694017725086,4.897150814562159,3.4089685915897494,4.80875580047984,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.897150814562159,3.4089685915897494],""centre_body_m"":[4.2173545943875625,2.408968596887624],""distance_m"":4.856872396470038,""min_distance_m"":4.80875580047984,""cluster_radius_m"":0.10539467577270412,""cluster_size_m"":0.18166845721321176,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.0922482307080523,""heading_deg"":-41.89418736867962}]"
1781616960.0149655,6.018450021743774,-200.0,200.0,0.2,6.283185306137079,0.6630414662510629,0.999999999780824,-2.643656257903913e-10,6.283185305890082,1781616959.9634595,,,,,1781616959.9731843,0.9629950138351604,apf_avoid,none,0.0,nan,nan,10.005292452498743,4.676056628762599,4.843361071794316,3.3872528848148837,4.770597555736985,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.843361071794316,3.3872528848148837],""centre_body_m"":[4.1803196030545235,2.387252889392075],""distance_m"":4.8139431178185665,""min_distance_m"":4.770597555736985,""cluster_radius_m"":0.10629898388699638,""cluster_size_m"":0.181562223302699,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.09436588157519903,""heading_deg"":-47.03752127904069}]"
1781616960.2147388,6.218223333358765,-200.0,200.0,0.2,6.283185306220926,0.7311852630471024,0.9999999997097836,8.075727014844308e-10,6.283185306071401,1781616960.187983,,,,,1781616960.1623545,0.9853282164086855,apf_avoid,none,0.0,nan,nan,9.987207161178198,4.695118550862525,4.827138290506,3.3777403202284644,4.753768992720985,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.827138290506,3.3777403202284644],""centre_body_m"":[4.164096821776125,2.377740324788743],""distance_m"":4.7951383080420635,""min_distance_m"":4.753768992720985,""cluster_radius_m"":0.10677323716966691,""cluster_size_m"":0.18169709766427886,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.09383697706216107,""heading_deg"":-49.99845616953774}]"
1781616960.414735,6.418219566345215,-200.0,200.0,0.2,6.2831853061854055,0.8006548310551689,0.9999999996431859,-9.33164346351699e-12,6.2831853060696226,1781616960.3785775,,,,,1781616960.371534,1.0777268248703344,apf_colreg,dynamic_virtual_obstacle,1.0,1.9086192318840773,7.5,9.96965284455738,5.269124697380726,4.856816345386666,3.3551862069265006,4.713881882253352,"[{""label"":0,""point_count"":4,""centre_ne_m"":[4.856816345386666,3.3551862069265006],""centre_body_m"":[4.125631080081741,2.3551862111717945],""distance_m"":4.750550904708861,""min_distance_m"":4.713881882253352,""cluster_radius_m"":0.107854846741432,""cluster_size_m"":0.18210086123161418,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.09388979436995185,""heading_deg"":-54.47498905585861}]"
1781616960.6142745,6.6177589893341064,-200.0,200.0,0.2,6.283185306159562,0.8703150221836375,0.999999999573931,-6.7195173214272e-11,6.283185306055924,1781616960.582433,,,,,1781616960.5613701,1.0454888810990353,apf_colreg,dynamic_virtual_obstacle,1.0,1.9468361567267292,8.0,9.969610818289091,5.151300155087718,4.878983502455873,3.358875458685521,4.669630778298153,"[{""label"":0,""point_count"":5,""centre_ne_m"":[4.878983502455873,3.358875458685521],""centre_body_m"":[4.078328669055555,2.3588754630969317],""distance_m"":4.711375402495668,""min_distance_m"":4.669630778298153,""cluster_radius_m"":0.12744146996447542,""cluster_size_m"":0.22576772867885614,""equivalent_radius_m"":0.18,""track_id"":1,""speed_m_s"":0.09470015396695673,""heading_deg"":-56.89299998767095}]"
